IDEP 2023;;;;;;;;IDEP;;METAS;
Cod_Esc;Escola;Diretoria;Distrito;NSE;Grupo;ICG;Faixa;IDEP_INICIAL;IDEP_FINAL;IDEP_INICIAL;IDEP_FINAL
19223;EMEF MARIA APARECIDA VILASBOAS, PROFA.;SAO MATEUS;SAO RAFAEL;47,97108623;1;3;1;4,2;3,7;4,3;4,0
19322;EMEF CITY JARAGUA IV;PIRITUBA;JARAGUA;46,48368158;1;3;1;4,3;3,7;4,3;3,0
92843;EMEF ROBERTO MANGE, PROF.;BUTANTA;RIO PEQUENO;48,40443855;1;3;1;3,7;3,7;3,4;3,0
93335;EMEF JOAO DE DEUS CARDOSO DE MELLO;CAPELA DO SOCORRO;CIDADE DUTRA;50,46025574;2;6;4;4;3,7;4,8;4,3
93432;EMEF CORREIA DE MELLO, BRIG.;ITAQUERA;CIDADE LIDER;49,41358831;2;3;3;5,1;3,7;4,1;3,2
93653;EMEF VLADIMIR HERZOG;GUAIANASES;CIDADE TIRADEN;49,27063617;1;3;1;4,2;3,7;4,4;3,2
94145;EMEF EDGARD CAVALHEIRO;PENHA;CANGAIBA;50,30644636;2;6;4;4,9;3,7;4,3;3,5
94170;EMEF PLINIO AYROSA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;50,97944422;2;3;3;4,4;3,7;4,3;4,2
94668;EMEFM DERVILLE ALLEGRETTI, PROF.;JACANA/TREMEMBE;SANTANA;50,39343577;2;4;4;3,4;3,7;3,4;3,4
9156;EMEF LUIS CARLOS PRESTES, SEN.;GUAIANASES;CIDADE TIRADEN;52,86160874;3;5;6;3,8;3,8;-;3,8
19220;EMEF MARIO LAGO;PIRITUBA;JARAGUA;48,97664112;1;6;2;3,7;3,8;3,8;2,8
19222;EMEF VEREMUNDO TOTH, DOM;CAMPO LIMPO;VILA ANDRADE;48,49057708;1;6;2;4,4;3,8;3,8;2,8
19410;EMEF MURURES;SAO MIGUEL;JARDIM HELENA;47,24535322;1;3;1;3,7;3,8;4,4;3,7
19428;EMEF SOCRATES BRASILEIRO SAMPAIO DE SOUSA VIEIRA DE OLIVEIRA;CAMPO LIMPO;CAMPO LIMPO;49,18707605;1;5;2;4,2;3,8;4,2;3,0
19445;EMEF ROGE FERREIRA, DEP.;PIRITUBA;JARAGUA;51,55349374;2;3;3;4,2;3,8;4,8;4,5
19466;EMEF PERIMETRAL;CAMPO LIMPO;VILA ANDRADE;47,88787887;1;6;2;4,1;3,8;4,0;2,9
19480;EMEF ABRAO HUCK, DR.;IPIRANGA;SACOMA;48,23124595;1;3;1;5,2;3,8;4,2;3,5
92835;EMEF ESPIRIDIAO ROSAS, MAL.;PIRITUBA;JAGUARE;49,06790252;1;6;2;4,3;3,8;4,3;2,8
92975;EMEF OTONIEL MOTA;CAMPO LIMPO;JARDIM SAO LUI;48,39710936;1;5;2;3,8;3,8;4,1;3,3
93238;EMEF ANTENOR NASCENTES;SANTO AMARO;CAMPO GRANDE;50,94607211;2;3;3;4,1;3,8;4,2;3,9
93254;EMEF JOAO SUSSUMU HIRATA, DEP.;SANTO AMARO;PEDREIRA;48,16438088;1;6;2;5,2;3,8;4,0;3,7
93262;EMEF ISABEL VIEIRA FERREIRA, PROFA.;SANTO AMARO;PEDREIRA;49,49434105;2;3;3;4,4;3,8;4,2;3,5
93548;EMEF SATURNINO PEREIRA;GUAIANASES;CIDADE TIRADEN;48,60147723;1;6;2;3,5;3,8;3,8;2,8
93751;EMEF PAULO ROLIM LOUREIRO, D.;SAO MIGUEL;SAO MIGUEL;50,86606121;2;6;4;3,9;3,8;4,4;4,2
94111;EMEF LUIS WASHINGTON VITA;PENHA;PONTE RASA;51,81031258;3;5;6;4,8;3,8;4,3;3,7
94854;EMEF ENEAS CARVALHO DE AGUIAR;JACANA/TREMEMBE;VILA MEDEIROS;47,62783309;1;3;1;4,6;3,8;4,0;3,4
95036;EMEF LEAO MACHADO, PROF.;IPIRANGA;SACOMA;53,18799345;3;5;6;5,1;3,8;5,3;5,1
95249;EMEF HABIB CARLOS KYRILLOS, DR.;SANTO AMARO;CIDADE ADEMAR;50,40088454;2;3;3;4,2;3,8;4,6;4,1
97705;EMEF AURELIANO LEITE;GUAIANASES;CIDADE TIRADEN;48,80211218;1;3;1;3,5;3,8;4,6;4,0
264;EMEF SYLVIO HECK, ALM.;SANTO AMARO;PEDREIRA;46,62633844;1;3;1;4,7;3,9;3,9;3,4
477;EMEF EDA TEREZINHA CHICA MEDEIROS, PROFA.;BUTANTA;RAPOSO TAVARES;48,44357198;1;3;1;3,6;3,9;4,2;3,5
11533;EMEF FRANCISCO DA SILVEIRA BUENO, PROF.;IPIRANGA;SAO LUCAS;43,88935403;1;3;1;3,8;3,9;3,0;2,9
17973;EMEF MAILSON DELANE, PROF.;GUAIANASES;CIDADE TIRADEN;49,11600186;1;6;2;4,1;3,9;3,5;3,5
19341;EMEF JARDIM GUARANI - JOSE ALFREDO APOLINARIO, PROF.;FREGUESIA/BRASILANDIA;BRASILANDIA;48,57590396;1;3;1;4,2;3,9;3,9;3,9
19363;CEU EMEF JARDIM PAULISTANO;FREGUESIA/BRASILANDIA;BRASILANDIA;48,31220147;1;3;1;4,4;3,9;4,2;4,0
19405;EMEF GILBERTO DUPAS, PROF;FREGUESIA/BRASILANDIA;CACHOEIRINHA;50,33857962;2;3;3;4,1;3,9;3,8;3,6
19412;EMEF BADRA;PIRITUBA;PERUS;47,82576196;1;5;2;5,2;3,9;4,2;3,1
92681;EMEF JOSE DE ALCANTARA MACHADO FILHO;BUTANTA;MORUMBI;47,69282798;1;5;2;3,7;3,9;3,0;2,7
94536;EMEF JAIRO RAMOS;PIRITUBA;SAO DOMINGOS;49,56441465;2;5;4;4,1;3,9;4,5;3,8
299;EMEF ROBERTO PATRICIO, PROF.;FREGUESIA/BRASILANDIA;CACHOEIRINHA;52,7577122;3;3;5;4,8;4,0;5,3;5,1
10120;EMEF CARLOS AUGUSTO DE QUEIROZ ROCHA;SANTO AMARO;CIDADE ADEMAR;47,85824511;1;5;2;4,3;4,0;4,0;3,9
13510;EMEF OLINDA MENEZES SERRA VIDAL, PROFA.;GUAIANASES;CIDADE TIRADEN;50,45921942;2;3;3;4,5;4,0;4,4;3,5
16497;EMEF FERNANDO GRACIOSO;PIRITUBA;PERUS;49,34674719;1;3;1;4,4;4,0;4,0;3,9
18546;EMEF DAMIAO, FREI;CAPELA DO SOCORRO;GRAJAU;49,02010064;1;6;2;5;4,0;4,8;3,8
19216;EMEF THEREZA MACIEL DE PAULA PROFA.;SAO MATEUS;SAO RAFAEL;50,00399657;2;6;4;5,1;4,0;4,3;3,6
19219;EMEF ENZO ANTONIO SILVESTRIN, PROF;PIRITUBA;JARAGUA;50,28975155;2;3;3;4,3;4,0;3,9;3,5
19249;EMEF DAISY AMADIO FUJIWARA, PROFA.;BUTANTA;RAPOSO TAVARES;50,44457002;2;3;3;4,9;4,0;3,9;3,6
19269;CEU EMEF PARQUE SAO CARLOS;SAO MIGUEL;VILA JACUI;52,19570918;3;3;5;3,8;4,0;3,7;3,3
19277;CEU EMEF VILA ATLANTICA;PIRITUBA;SAO DOMINGOS;47,86032663;1;5;2;3,8;4,0;4,3;3,3
19362;CEU EMEF VILA DO SOL;CAMPO LIMPO;JARDIM ANGELA;47,26709474;1;6;2;4,3;4,0;4,1;3,0
19390;CEU EMEF JAGUARE;PIRITUBA;JAGUARE;51,0736276;2;3;3;4;4,0;3,6;3,1
19401;EMEF JARDIM FONTALIS;JACANA/TREMEMBE;TREMEMBE;48,2274445;1;3;1;4,4;4,0;4,2;3,4
19436;EMEF CARLOS FRANCISCO GASPAR;CAPELA DO SOCORRO;CIDADE DUTRA;50,45203204;2;3;3;4,8;4,0;4,8;4,3
19465;EMEF AMELIA RODRIGUES DE OLIVEIRA, PROFA;SANTO AMARO;PEDREIRA;47,80039884;1;3;1;4,1;4,0;4,4;4,2
92738;EMEF TARSILA DO AMARAL;BUTANTA;VILA SONIA;48,68328652;1;3;1;4,1;4,0;4,1;2,7
92916;EMEF ANTONIO ESTANISLAU DO AMARAL;CAMPO LIMPO;JARDIM ANGELA;47,49558299;1;5;2;4,6;4,0;4,9;4,1
93513;EMEF JOAO DE LIMA PAIVA, PROF.;GUAIANASES;LAJEADO;50,89176001;2;3;3;5;4,0;4,1;4,0
93556;EMEF FELICIO PAGLIUSO, PROF.;SAO MATEUS;IGUATEMI;46,97808514;1;3;1;3,6;4,0;4,0;2,4
93581;EMEF PLINIO DE QUEIROZ;SAO MATEUS;IGUATEMI;49,97812086;2;3;3;4,3;4,0;4,4;4,7
94242;EMEF ANTONIO PRUDENTE, PROF.;FREGUESIA/BRASILANDIA;BRASILANDIA;48,58002798;1;3;1;3,8;4,0;4,2;3,8
94307;EMEF FREDERICO GUSTAVO DOS SANTOS, TTE. AVIADOR;FREGUESIA/BRASILANDIA;CACHOEIRINHA;49,71516384;2;3;3;4,9;4,0;4,5;4,0
94331;EMEF HUMBERTO DANTAS;FREGUESIA/BRASILANDIA;LIMAO;48,237759;1;3;1;3,5;4,0;3,5;3,6
94609;EMEFM ANTONIO ALVES VERISSIMO;PIRITUBA;JARAGUA;51,32493688;2;5;4;4,9;4,0;4,6;3,6
